theta_in,theta_out,d_in_mm,d_out_mm,px_mm,py_mm,pz_mm,qx,qy,qz,qw
0.0,-0.6,20.0,8.0,-73.05242156982422,272.82000732421875,-296.99920654296875,0.7045655846595764,-0.02702461928129196,0.0,0.7091240286827087
0.0,-0.6,20.0,8.0,-73.6240463256836,272.4013366699219,-296.7700500488281,0.7033934593200684,-0.02578461356461048,0.0,0.7103328704833984
0.0,-0.6,20.0,8.0,-72.91908264160156,272.05035400390625,-296.329833984375,0.7034773230552673,-0.02713102474808693,0.0,0.7101995944976807
0.0,-0.6,20.0,8.0,-71.85748291015625,273.0661926269531,-296.0162048339844,0.7058593034744263,-0.030616430565714836,0.0,0.7076901197433472
0.0,-0.6,20.0,8.0,-71.85748291015625,273.0661926269531,-296.0162048339844,0.7058593034744263,-0.030616430565714836,0.0,0.7076901197433472
0.0,-0.6,20.0,8.0,-71.40269470214844,273.3473815917969,-295.9926452636719,0.7063360214233398,-0.03156638890504837,0.0,0.7071724534034729
0.0,-0.6,20.0,8.0,-70.70530700683594,273.45501708984375,-296.0614013671875,0.7063912153244019,-0.03320129215717316,0.0,0.7070425152778625
0.0,-0.6,20.0,8.0,-70.56259155273438,273.937255859375,-295.9782409667969,0.707414984703064,-0.03481490910053253,0.0,0.7059404850006104
0.0,-0.6,20.0,8.0,-69.4715347290039,273.81884765625,-295.9971923828125,0.7073293328285217,-0.03726757690310478,0.0,0.705901026725769
0.0,-0.6,20.0,8.0,-69.4715347290039,273.81884765625,-295.9971923828125,0.7073293328285217,-0.03726757690310478,0.0,0.705901026725769
0.0,-0.6,20.0,8.0,-69.13896942138672,273.77960205078125,-295.9192810058594,0.7071405649185181,-0.0379052571952343,0.0,0.7060562372207642
0.0,-0.6,20.0,8.0,-69.00171661376953,274.3533935546875,-295.6278076171875,0.7090333104133606,-0.038085464388132095,0.0,0.7041457295417786
0.0,-0.6,20.0,8.0,-69.40911102294922,274.25958251953125,-296.09368896484375,0.7080016136169434,-0.037183746695518494,0.0,0.7052311897277832
0.0,-0.6,20.0,8.0,-69.48570251464844,274.0476989746094,-296.13897705078125,0.7080264091491699,-0.03696956858038902,0.0,0.7052175402641296
0.0,-0.6,20.0,8.0,-69.48570251464844,274.0476989746094,-296.13897705078125,0.7080264091491699,-0.03696956858038902,0.0,0.7052175402641296
0.0,-0.6,20.0,8.0,-70.84296417236328,274.47735595703125,-296.4081115722656,0.7082532048225403,-0.03439635783433914,0.0,0.7051200866699219
0.0,-0.6,20.0,8.0,-70.52245330810547,274.7666015625,-296.1620788574219,0.7096853256225586,-0.03576058894395828,0.0,0.7036107182502747
0.0,-0.6,20.0,8.0,-70.66929626464844,274.2863464355469,-295.774169921875,0.7093417644500732,-0.035337384790182114,0.0,0.7039783596992493
0.0,-0.6,20.0,8.0,-70.34806823730469,273.7931213378906,-295.5869445800781,0.7086352109909058,-0.03605559095740318,0.0,0.7046531438827515
0.0,-0.6,20.0,8.0,-70.34806823730469,273.7931213378906,-295.5869445800781,0.7086352109909058,-0.03605559095740318,0.0,0.7046531438827515
0.0,-0.6,20.0,8.0,-70.66038513183594,272.89788818359375,-296.0263366699219,0.7059019207954407,-0.035113975405693054,0.0,0.707438588142395
0.0,-0.6,20.0,8.0,-70.20946502685547,273.6552429199219,-295.1581115722656,0.7087961435317993,-0.03639264404773712,0.0,0.7044740319252014
0.0,-0.6,20.0,8.0,-71.08788299560547,273.0485534667969,-295.7347412109375,0.7066919207572937,-0.03385442495346069,0.0,0.7067109942436218
0.0,-0.6,20.0,8.0,-69.74723052978516,271.9394836425781,-295.5781555175781,0.7037665247917175,-0.037405695766210556,0.0,0.7094458341598511
0.0,-0.6,20.0,8.0,-69.74723052978516,271.9394836425781,-295.5781555175781,0.7037665247917175,-0.037405695766210556,0.0,0.7094458341598511
0.0,-0.6,20.0,8.0,-69.89030456542969,272.6728515625,-295.0477294921875,0.7059869170188904,-0.03711388632655144,0.0,0.7072517275810242
0.0,-0.6,20.0,8.0,-69.04884338378906,273.3846435546875,-294.9334716796875,0.7076325416564941,-0.03893885388970375,0.0,0.7055068612098694
0.0,-0.6,20.0,8.0,-68.9154281616211,273.6373291015625,-295.0895690917969,0.7083727121353149,-0.03977818414568901,0.0,0.7047168016433716
0.0,-0.6,20.0,8.0,-69.20015716552734,272.2309875488281,-295.36907958984375,0.7043606042861938,-0.03736603632569313,0.0,0.708858072757721
0.0,-0.6,20.0,8.0,-69.20015716552734,272.2309875488281,-295.36907958984375,0.7043606042861938,-0.03736603632569313,0.0,0.708858072757721
0.0,-0.6,20.0,8.0,-68.85486602783203,272.3114013671875,-295.5565490722656,0.7039340734481812,-0.03822823613882065,0.0,0.7092357277870178
0.0,-0.6,20.0,11.0,-67.54084014892578,272.15252685546875,-295.18707275390625,0.703957736492157,-0.04037274047732353,0.0,0.709093451499939
0.0,-0.6,20.0,11.0,-68.10071563720703,271.5108642578125,-295.59967041015625,0.7018219828605652,-0.03881271556019783,0.0,0.7112942337989807
0.0,-0.6,20.0,11.0,-68.60989379882812,271.9436950683594,-295.45697021484375,0.7029651403427124,-0.0378195196390152,0.0,0.710218071937561
0.0,-0.6,20.0,11.0,-68.60989379882812,271.9436950683594,-295.45697021484375,0.7029651403427124,-0.0378195196390152,0.0,0.710218071937561
0.0,-0.6,20.0,11.0,-69.06407165527344,271.4577331542969,-294.55548095703125,0.7028974294662476,-0.03616287186741829,0.0,0.7103713154792786
0.0,-0.6,20.0,11.0,-68.75341796875,271.736083984375,-294.1387634277344,0.7037805318832397,-0.03766052797436714,0.0,0.709418535232544
0.0,-0.6,20.0,11.0,-69.02207946777344,270.8096923828125,-294.14483642578125,0.7016519904136658,-0.03644759953022003,0.0,0.7115870118141174
0.0,-0.6,20.0,11.0,-69.03083038330078,270.2001037597656,-294.7870178222656,0.6994408369064331,-0.03607925400137901,0.0,0.7137792110443115
0.0,-0.6,20.0,11.0,-69.03083038330078,270.2001037597656,-294.7870178222656,0.6994408369064331,-0.03607925400137901,0.0,0.7137792110443115
0.0,-0.6,20.0,11.0,-69.599853515625,270.1409606933594,-294.8025817871094,0.6991928815841675,-0.03471365198493004,0.0,0.7140898108482361
0.0,-0.6,20.0,11.0,-68.70681762695312,269.91009521484375,-294.9483947753906,0.6986761689186096,-0.037271786481142044,0.0,0.7144665122032166
0.0,-0.6,20.0,11.0,-69.24747467041016,270.53997802734375,-295.0368347167969,0.7003068923950195,-0.03560824319720268,0.0,0.7129532694816589
0.0,-0.6,20.0,11.0,-68.40901184082031,269.9211730957031,-295.27093505859375,0.698817253112793,-0.037992220371961594,0.0,0.7142904996871948
0.0,-0.6,20.0,11.0,-68.40901184082031,269.9211730957031,-295.27093505859375,0.698817253112793,-0.037992220371961594,0.0,0.7142904996871948
0.0,-0.6,20.0,11.0,-67.75508880615234,270.3402404785156,-294.8984375,0.7004227042198181,-0.039956893771886826,0.0,0.7126088738441467
0.0,-0.6,20.0,11.0,-67.45030975341797,271.0089111328125,-294.9579772949219,0.7018868327140808,-0.040652986615896225,0.0,0.7111274003982544
0.0,-0.6,20.0,11.0,-67.57344055175781,270.2541809082031,-295.468994140625,0.6993017196655273,-0.04031021147966385,0.0,0.7136892080307007
0.0,-0.6,20.0,11.0,-67.66165924072266,270.7733154296875,-296.1079406738281,0.699884295463562,-0.040114935487508774,0.0,0.7131288051605225
0.0,-0.6,20.0,11.0,-67.66165924072266,270.7733154296875,-296.1079406738281,0.699884295463562,-0.040114935487508774,0.0,0.7131288051605225
0.0,-0.6,20.0,11.0,-67.4586181640625,271.8561706542969,-295.7918395996094,0.7028859853744507,-0.04187048226594925,0.0,0.7100691199302673
0.0,-0.6,20.0,11.0,-67.8110122680664,272.3850402832031,-295.5482177734375,0.7042083144187927,-0.04081886634230614,0.0,0.7088189721107483
0.0,-0.6,20.0,11.0,-68.17967224121094,272.6356201171875,-295.5037536621094,0.7052884101867676,-0.040185291320085526,0.0,0.7077805399894714
0.0,-0.6,20.0,11.0,-68.6052017211914,272.466552734375,-295.75531005859375,0.7048009634017944,-0.038761891424655914,0.0,0.7083452939987183
0.0,-0.6,20.0,11.0,-68.6052017211914,272.466552734375,-295.75531005859375,0.7048009634017944,-0.038761891424655914,0.0,0.7083452939987183
0.0,-0.6,20.0,11.0,-67.67286682128906,272.01025390625,-295.6908264160156,0.7035834789276123,-0.04132327809929848,0.0,0.7094101309776306
0.0,-0.6,20.0,11.0,-68.57618713378906,272.30133056640625,-295.53875732421875,0.7044541835784912,-0.03982410579919815,0.0,0.7086312174797058
0.0,-0.6,20.0,11.0,-69.03374481201172,272.00244140625,-295.8619384765625,0.7031064033508301,-0.03801625221967697,0.0,0.7100677490234375
0.0,-0.6,20.0,11.0,-69.47169494628906,271.62554931640625,-296.1772766113281,0.7020612955093384,-0.036637283861637115,0.0,0.711173415184021
0.0,-0.6,20.0,11.0,-69.47169494628906,271.62554931640625,-296.1772766113281,0.7020612955093384,-0.036637283861637115,0.0,0.711173415184021
0.0,-0.6,20.0,11.0,-69.40438842773438,272.632568359375,-296.2119140625,0.7044317126274109,-0.03781925514340401,0.0,0.7087634205818176
0.0,-0.6,20.0,11.0,-69.5255126953125,273.2582092285156,-295.6923522949219,0.7068448662757874,-0.036736778914928436,0.0,0.7064140439033508
0.0,-0.6,20.0,11.0,-69.30228424072266,273.4876708984375,-296.06982421875,0.7069486379623413,-0.036795832216739655,0.0,0.706307053565979
0.0,-0.6,20.0,11.0,-69.79509735107422,273.2673034667969,-296.53033447265625,0.706136167049408,-0.03653256967663765,0.0,0.7071330547332764
0.0,-0.6,20.0,11.0,-69.79509735107422,273.2673034667969,-296.53033447265625,0.706136167049408,-0.03653256967663765,0.0,0.7071330547332764
0.0,-0.6,20.0,11.0,-68.63602447509766,273.3013916015625,-296.4700927734375,0.7060595750808716,-0.039276372641325,0.0,0.7070623636245728
0.0,-0.6,20.0,11.0,-69.25109100341797,273.3449401855469,-296.1689453125,0.7065332531929016,-0.0379132479429245,0.0,0.7066635489463806
0.0,-0.6,20.0,11.0,-68.6581802368164,273.78692626953125,-295.65771484375,0.708242654800415,-0.0396031029522419,0.0,0.7048574686050415
0.0,-0.6,20.0,11.0,-69.12516021728516,273.7760925292969,-295.6598815917969,0.7080496549606323,-0.03808138519525528,0.0,0.70513516664505
0.0,-0.6,20.0,11.0,-69.12516021728516,273.7760925292969,-295.6598815917969,0.7080496549606323,-0.03808138519525528,0.0,0.70513516664505
0.0,-0.6,20.0,11.0,-68.3632583618164,273.3163757324219,-295.7428283691406,0.707339882850647,-0.04048541560769081,0.0,0.7057132124900818
0.0,-0.6,20.0,11.0,-67.85440063476562,272.8173522949219,-295.4178771972656,0.7063456773757935,-0.042134206742048264,0.0,0.7066119313240051
0.0,-0.6,20.0,11.0,-66.72694396972656,272.0350646972656,-295.79705810546875,0.7043399810791016,-0.04398655891418457,0.0,0.7084986567497253
0.0,-0.6,20.0,11.0,-66.70838928222656,271.6053466796875,-296.0968933105469,0.7028746604919434,-0.04456903040409088,0.0,0.7099160552024841
0.0,-0.6,20.0,11.0,-66.70838928222656,271.6053466796875,-296.0968933105469,0.7028746604919434,-0.04456903040409088,0.0,0.7099160552024841
0.0,-0.6,20.0,11.0,-66.58751678466797,270.85614013671875,-296.0413818359375,0.7011200785636902,-0.0451522171497345,0.0,0.7116122245788574
0.0,-0.6,20.0,11.0,-66.22383117675781,270.3406677246094,-295.9015808105469,0.7002851366996765,-0.04473809152841568,0.0,0.712459921836853
