time,cp_px,cp_py,cp_pz,cp_ox,cp_oy,cp_oz,cp_ow,ves_px,ves_py,ves_pz,ves_ox,ves_oy,ves_oz,ves_ow,ndi_px,ndi_py,ndi_pz,ndi_ox,ndi_oy,ndi_oz,ndi_ow,fx,fy,fz,joint_0,joint_1,joint_2,joint_3,joint_4
1756996937.4667208,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.027491174760712292,1.6833489587753404e-18,0.0,0.999622046230612,-0.22492599487304688,0.26094207763671307,0.161590576171875,-0.7076115608215332,-0.03077162243425846,0.0,0.7059313058853149,-0.002759799999999757,-0.003901999999999184,0.014908900000000003,0.0,3.141592653589793,0.0,0.0,0.0
1756996937.4905136,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.027491174760712292,1.6833489587753404e-18,0.0,0.999622046230612,-0.053195953369140625,0.34312591552733807,0.228271484375,-0.7075290083885193,-0.03075459785759449,0.0,0.7060147523880005,-0.0013657999999998616,-0.0003059999999992513,-0.0030871000000001203,0.0,3.141592653589793,0.0,0.0,0.0
1756996937.5160744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.027491174760712292,1.6833489587753404e-18,0.0,0.999622046230612,0.0327606201171875,0.24183807373046307,0.0908203125,-0.7078178524971008,-0.030488857999444008,0.0,0.7057366967201233,0.0015562000000000076,0.007950000000001012,-0.005658099999999777,0.0,3.141592653589793,0.0,0.0,0.0
1756996937.539629,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.027491174760712292,1.6833489587753404e-18,0.0,0.999622046230612,0.32723236083984375,0.21672210693358807,0.014678955078125,-0.7077532410621643,-0.03093154914677143,0.0,0.7057822346687317,0.00592920000000019,0.0010000000000012221,0.0005728999999998763,0.0,3.141592653589793,0.0,0.0,0.0
1756996937.5650938,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.027491174760712292,1.6833489587753404e-18,0.0,0.999622046230612,0.3104667663574219,0.19233856201171307,-0.134490966796875,-0.7078708410263062,-0.030695565044879913,0.0,0.7056745290756226,0.00029620000000019076,0.000716000000000605,0.003998900000000027,0.0,3.141592653589793,0.0,0.0,0.0
1756996937.5894535,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.027491174760712292,1.6833489587753404e-18,0.0,0.999622046230612,0.33941650390625,0.11807403564452557,-0.060943603515625,-0.7082024216651917,-0.030664097517728806,0.0,0.7053431868553162,0.0002842000000002898,0.004058000000000561,-0.0012591000000004016,0.0,3.141592653589793,0.0,0.0,0.0
1756996937.615077,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.027491174760712292,1.6833489587753404e-18,0.0,0.999622046230612,0.45116424560546875,0.043397521972650566,-0.16741943359375,-0.7084397673606873,-0.030561337247490883,0.0,0.7051092386245728,0.008742200000000366,-0.0004989999999986949,-0.0057491000000000625,0.0,3.141592653589793,0.0,0.0,0.0
1756996937.6410089,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.027491174760712292,1.6833489587753404e-18,0.0,0.999622046230612,0.210662841796875,0.06485137939452557,-0.0587158203125,-0.7082917094230652,-0.030129296705126762,0.0,0.705276608467102,0.0030452000000003032,0.0007570000000010069,-0.00029509999999977055,0.0,3.141592653589793,0.0,0.0,0.0
1756996937.6660502,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.027491174760712292,1.6833489587753404e-18,0.0,0.999622046230612,0.14397811889648438,0.016023254394525566,0.048309326171875,-0.7083621025085449,-0.030077215284109116,0.0,0.7052080631256104,0.00044220000000017023,-0.0056189999999993745,0.0076008999999999105,0.0,3.141592653589793,0.0,0.0,0.0
1756996937.6896389,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.027491174760712292,1.6833489587753404e-18,0.0,0.999622046230612,0.26692962646484375,-0.032057189941411934,-0.087982177734375,-0.7082270979881287,-0.030185582116246223,0.0,0.7053390741348267,-0.0027458000000000204,-0.0010499999999993292,-0.00849410000000006,0.0,3.141592653589793,0.0,0.0,0.0
1756996937.7164876,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.027491174760712292,1.6833489587753404e-18,0.0,0.999622046230612,0.4271240234375,-0.10816802978516193,-0.1435546875,-0.7083868384361267,-0.030525552108883858,0.0,0.7051640152931213,0.00012319999999998998,0.0007350000000005963,-0.007462100000000582,0.0,3.141592653589793,0.0,0.0,0.0
1756996937.7406633,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.027491174760712292,1.6833489587753404e-18,0.0,0.999622046230612,0.4037590026855469,-0.13178863525391193,-0.083831787109375,-0.7084105014801025,-0.03090197592973709,0.0,0.7051238417625427,0.003070200000000245,0.0006540000000008206,-0.0031271000000003824,0.0,3.141592653589793,0.0,0.0,0.0
1756996937.7662416,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.027491174760712292,1.6833489587753404e-18,0.0,0.999622046230612,0.34161376953125,-0.047956848144536934,0.22393798828125,-0.7081102728843689,-0.030998993664979935,0.0,0.7054211497306824,0.0021531999999999663,-0.0016659999999992792,0.00125390000000003,0.0,3.141592653589793,0.0,0.0,0.0
1756996937.7903998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.027491174760712292,1.6833489587753404e-18,0.0,0.999622046230612,0.2515907287597656,-0.28092803955078693,0.053741455078125,-0.7084681391716003,-0.030944937840104103,0.0,0.7050639390945435,-0.003985799999999706,-0.0017739999999992762,-0.00848110000000002,0.0,3.141592653589793,0.0,0.0,0.0
1756996937.8159356,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.027491174760712292,1.6833489587753404e-18,0.0,0.999622046230612,0.23600006103515625,-0.36858978271484943,-0.05615234375,-0.7084635496139526,-0.030906910076737404,0.0,0.7050703763961792,0.000247200000000003,0.004000000000000448,-0.02271010000000029,0.0,3.141592653589793,0.0,0.0,0.0
1756996937.8424175,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.027491174760712292,1.6833489587753404e-18,0.0,0.999622046230612,0.2694740295410156,-0.42233123779297443,-0.13885498046875,-0.7084177732467651,-0.031414709985256195,0.0,0.7050939202308655,0.0032552000000003467,0.000748000000000637,-0.002228099999999955,0.0,3.141592653589793,0.0,0.0,0.0
